model,split,version,true_score,rows,exact_fraction,under_fraction,over_fraction,mean_predicted_score,mean_raw_prediction
small1024_frozen_mean,selection,B0,3,563,0.6696269982238011,0.18294849023090587,0.14742451154529307,2.9626998223801064,2.9739398312611014
small1024_frozen_mean,selection,B0,4,356,0.6039325842696629,0.28370786516853935,0.11235955056179775,3.8202247191011236,3.8095593398876404
small1024_frozen_mean,selection,B0,5,88,0.5,0.45454545454545453,0.045454545454545456,4.568181818181818,4.579545454545454
small1024_frozen_mean,selection,B0,6,13,0.46153846153846156,0.5384615384615384,0.0,5.461538461538462,5.396634615384615
small1024_frozen_mean,selection,B1,1,112,0.6785714285714286,0.0,0.32142857142857145,1.3660714285714286,1.5299246651785714
small1024_frozen_mean,selection,B1,2,425,0.611764705882353,0.15058823529411763,0.2376470588235294,2.0988235294117645,2.177858455882353
small1024_frozen_mean,selection,B1,3,563,0.6749555950266429,0.17406749555950266,0.15097690941385436,2.9769094138543517,2.9739398312611014
small1024_frozen_mean,selection,B1,4,356,0.5926966292134831,0.2752808988764045,0.13202247191011235,3.851123595505618,3.8095593398876404
small1024_frozen_mean,selection,B1,5,88,0.4772727272727273,0.38636363636363635,0.13636363636363635,4.7272727272727275,4.579545454545454
small1024_frozen_mean,selection,B1,6,13,0.6923076923076923,0.3076923076923077,0.0,5.6923076923076925,5.396634615384615
small1024_frozen_mean,train,B0,1,788,0.8248730964467005,0.0,0.1751269035532995,1.1776649746192893,1.2261113975
small1024_frozen_mean,train,B0,2,2974,0.890719569603228,0.01714862138533961,0.09213180901143242,2.0756556825823806,2.0915801529926026
small1024_frozen_mean,train,B0,3,3940,0.8619289340101522,0.07131979695431472,0.066751269035533,2.9959390862944164,2.983052427030457
small1024_frozen_mean,train,B0,4,2495,0.8424849699398798,0.12384769539078157,0.033667334669338675,3.909418837675351,3.875432114228457
small1024_frozen_mean,train,B0,5,613,0.7846655791190864,0.20717781402936378,0.008156606851549755,4.800978792822186,4.761521207177814
small1024_frozen_mean,train,B0,6,95,0.7052631578947368,0.29473684210526313,0.0,5.705263157894737,5.6713815789473685
small1024_frozen_mean,train,B1,1,788,0.9365482233502538,0.0,0.06345177664974619,1.0659898477157361,1.2261113975
small1024_frozen_mean,train,B1,2,2974,0.8100201748486886,0.08809683927370544,0.10188298587760591,2.0144586415601884,2.0915801529926026
small1024_frozen_mean,train,B1,3,3940,0.8629441624365483,0.06472081218274112,0.07233502538071065,3.0076142131979697,2.983052427030457
small1024_frozen_mean,train,B1,4,2495,0.8404809619238477,0.112625250501002,0.0468937875751503,3.934268537074148,3.875432114228457
small1024_frozen_mean,train,B1,5,613,0.7585644371941273,0.16639477977161501,0.07504078303425775,4.908646003262643,4.761521207177814
